title,start,end,country
uusivuosi,2019-01-01,2019-01-01,FI
loppiainen,2019-01-06,2019-01-06,FI
pitkäperjantai,2019-04-19,2019-04-19,FI
toinen pääsiäispäivä,2019-04-22,2019-04-22,FI
vappu,2019-05-01,2019-05-01,FI
helatorstai,2019-05-30,2019-05-30,FI
juhannusaatto,2019-06-21,2019-06-21,FI
itsenäisyyspäivä,2019-12-06,2019-12-06,FI
jouluaatto,2019-12-24,2019-12-24,FI
joulupäivä,2019-12-25,2019-12-25,FI
tapaninpäivä,2019-12-26,2019-12-26,FI
uusivuosi,2020-01-01,2020-01-01,FI
loppiainen,2020-01-06,2020-01-06,FI
pitkäperjantai,2020-04-10,2020-04-10,FI
toinen pääsiäispäivä,2020-04-13,2020-04-13,FI
vappu,2020-05-01,2020-05-01,FI
helatorstai,2020-05-21,2020-05-21,FI
juhannusaatto,2020-06-19,2020-06-19,FI
itsenäisyyspäivä,2020-12-06,2020-12-06,FI
jouluaatto,2020-12-24,2020-12-24,FI
joulupäivä,2020-12-25,2020-12-25,FI
tapaninpäivä,2020-12-26,2020-12-26,FI
uusivuosi,2021-01-01,2021-01-01,FI
loppiainen,2021-01-06,2021-01-06,FI
pitkäperjantai,2021-04-02,2021-04-02,FI
toinen pääsiäispäivä,2021-04-05,2021-04-05,FI
vappu,2021-05-01,2021-05-01,FI
helatorstai,2021-05-13,2021-05-13,FI
juhannusaatto,2021-06-25,2021-06-25,FI
itsenäisyyspäivä,2021-12-06,2021-12-06,FI
jouluaatto,2021-12-24,2021-12-24,FI
joulupäivä,2021-12-25,2021-12-25,FI
tapaninpäivä,2021-12-26,2021-12-26,FI
uusivuosi,2022-01-01,2022-01-01,FI
loppiainen,2022-01-06,2022-01-06,FI
pitkäperjantai,2022-04-15,2022-04-15,FI
toinen pääsiäispäivä,2022-04-18,2022-04-18,FI
vappu,2022-05-01,2022-05-01,FI
helatorstai,2022-05-26,2022-05-26,FI
juhannusaatto,2022-06-24,2022-06-24,FI
itsenäisyyspäivä,2022-12-06,2022-12-06,FI
jouluaatto,2022-12-24,2022-12-24,FI
joulupäivä,2022-12-25,2022-12-25,FI
tapaninpäivä,2022-12-26,2022-12-26,FI
uusivuosi,2023-01-01,2023-01-01,FI
loppiainen,2023-01-06,2023-01-06,FI
pitkäperjantai,2023-04-07,2023-04-07,FI
toinen pääsiäispäivä,2023-04-10,2023-04-10,FI
vappu,2023-05-01,2023-05-01,FI
helatorstai,2023-05-18,2023-05-18,FI
juhannusaatto,2023-06-23,2023-06-23,FI
itsenäisyyspäivä,2023-12-06,2023-12-06,FI
jouluaatto,2023-12-24,2023-12-24,FI
joulupäivä,2023-12-25,2023-12-25,FI
tapaninpäivä,2023-12-26,2023-12-26,FI
uusivuosi,2024-01-01,2024-01-01,FI
loppiainen,2024-01-06,2024-01-06,FI
pitkäperjantai,2024-03-29,2024-03-29,FI
toinen pääsiäispäivä,2024-04-01,2024-04-01,FI
vappu,2024-05-01,2024-05-01,FI
helatorstai,2024-05-09,2024-05-09,FI
juhannusaatto,2024-06-21,2024-06-21,FI
itsenäisyyspäivä,2024-12-06,2024-12-06,FI
jouluaatto,2024-12-24,2024-12-24,FI
joulupäivä,2024-12-25,2024-12-25,FI
tapaninpäivä,2024-12-26,2024-12-26,FI
uusivuosi,2025-01-01,2025-01-01,FI
loppiainen,2025-01-06,2025-01-06,FI
pitkäperjantai,2025-04-18,2025-04-18,FI
toinen pääsiäispäivä,2025-04-21,2025-04-21,FI
vappu,2025-05-01,2025-05-01,FI
helatorstai,2025-05-29,2025-05-29,FI
juhannusaatto,2025-06-20,2025-06-20,FI
itsenäisyyspäivä,2025-12-06,2025-12-06,FI
jouluaatto,2025-12-24,2025-12-24,FI
joulupäivä,2025-12-25,2025-12-25,FI
tapaninpäivä,2025-12-26,2025-12-26,FI
uusivuosi,2026-01-01,2026-01-01,FI
loppiainen,2026-01-06,2026-01-06,FI
pitkäperjantai,2026-04-03,2026-04-03,FI
toinen pääsiäispäivä,2026-04-06,2026-04-06,FI
vappu,2026-05-01,2026-05-01,FI
helatorstai,2026-05-14,2026-05-14,FI
juhannusaatto,2026-06-19,2026-06-19,FI
itsenäisyyspäivä,2026-12-06,2026-12-06,FI
jouluaatto,2026-12-24,2026-12-24,FI
joulupäivä,2026-12-25,2026-12-25,FI
tapaninpäivä,2026-12-26,2026-12-26,FI
uusivuosi,2027-01-01,2027-01-01,FI
loppiainen,2027-01-06,2027-01-06,FI
pitkäperjantai,2027-03-26,2027-03-26,FI
toinen pääsiäispäivä,2027-03-29,2027-03-29,FI
vappu,2027-05-01,2027-05-01,FI
helatorstai,2027-05-06,2027-05-06,FI
juhannusaatto,2027-06-25,2027-06-25,FI
itsenäisyyspäivä,2027-12-06,2027-12-06,FI
jouluaatto,2027-12-24,2027-12-24,FI
joulupäivä,2027-12-25,2027-12-25,FI
tapaninpäivä,2027-12-26,2027-12-26,FI
uusivuosi,2028-01-01,2028-01-01,FI
loppiainen,2028-01-06,2028-01-06,FI
pitkäperjantai,2028-04-14,2028-04-14,FI
toinen pääsiäispäivä,2028-04-17,2028-04-17,FI
vappu,2028-05-01,2028-05-01,FI
helatorstai,2028-05-25,2028-05-25,FI
juhannusaatto,2028-06-23,2028-06-23,FI
itsenäisyyspäivä,2028-12-06,2028-12-06,FI
jouluaatto,2028-12-24,2028-12-24,FI
joulupäivä,2028-12-25,2028-12-25,FI
tapaninpäivä,2028-12-26,2028-12-26,FI
uusivuosi,2029-01-01,2029-01-01,FI
loppiainen,2029-01-06,2029-01-06,FI
pitkäperjantai,2029-03-30,2029-03-30,FI
toinen pääsiäispäivä,2029-04-02,2029-04-02,FI
vappu,2029-05-01,2029-05-01,FI
helatorstai,2029-05-10,2029-05-10,FI
juhannusaatto,2029-06-22,2029-06-22,FI
itsenäisyyspäivä,2029-12-06,2029-12-06,FI
jouluaatto,2029-12-24,2029-12-24,FI
joulupäivä,2029-12-25,2029-12-25,FI
tapaninpäivä,2029-12-26,2029-12-26,FI
uusivuosi,2030-01-01,2030-01-01,FI
loppiainen,2030-01-06,2030-01-06,FI
pitkäperjantai,2030-04-19,2030-04-19,FI
toinen pääsiäispäivä,2030-04-22,2030-04-22,FI
vappu,2030-05-01,2030-05-01,FI
helatorstai,2030-05-30,2030-05-30,FI
juhannusaatto,2030-06-21,2030-06-21,FI
itsenäisyyspäivä,2030-12-06,2030-12-06,FI
jouluaatto,2030-12-24,2030-12-24,FI
joulupäivä,2030-12-25,2030-12-25,FI
tapaninpäivä,2030-12-26,2030-12-26,FI
uusivuosi,2031-01-01,2031-01-01,FI
loppiainen,2031-01-06,2031-01-06,FI
pitkäperjantai,2031-04-11,2031-04-11,FI
toinen pääsiäispäivä,2031-04-14,2031-04-14,FI
vappu,2031-05-01,2031-05-01,FI
helatorstai,2031-05-22,2031-05-22,FI
juhannusaatto,2031-06-20,2031-06-20,FI
itsenäisyyspäivä,2031-12-06,2031-12-06,FI
jouluaatto,2031-12-24,2031-12-24,FI
joulupäivä,2031-12-25,2031-12-25,FI
tapaninpäivä,2031-12-26,2031-12-26,FI
